@lat,@lon,name:cy,place,name
52.8437787,-4.1141613,,village,Llanfair
52.8203770,-4.0998962,,village,Llanbedr
52.7877046,-4.0951219,,village,Dyffryn Ardudwy
52.7890173,-4.1034109,,village,Llanenddwyn
52.7867904,-4.0773926,,hamlet,Cors-y-gedol
52.7744422,-4.0909698,,village,Tal-y-Bont
52.6970513,-4.0511181,,village,Fairbourne
52.7043257,-4.0296708,,hamlet,Ynysgyffylog
52.6654327,-4.0825253,,village,Llwyngwril
52.6437475,-4.1086946,,hamlet,Llangelynnin
52.6279906,-4.0693832,,hamlet,Llanegryn
52.5128619,-3.9992582,,hamlet,Llancynfelyn
52.3884327,-4.0819220,,hamlet,Llanychaiarn
52.3282955,-4.1119669,,village,Llanddeiniol
52.2839777,-4.1832624,,hamlet,Llansantffraid
52.2477624,-4.1797501,,village,Pennant
52.1948092,-4.3087328,,village,Llanarth
52.1918598,-4.3596154,,village,Llanlwchaiarn
52.1341692,-4.5462206,,village,Aberporth
52.1085073,-4.5382116,,village,Blaenporth
52.0042746,-4.6712235,,hamlet,Llanfair-Nant-Gwyn
52.0237924,-4.6130349,,hamlet,Llanfihangel Penbedw
52.0553793,-4.6333039,,village,Cilgerran
52.0027367,-4.5952476,,hamlet,Penrydd
52.0233374,-4.3992152,,village,Drefach
52.0447145,-4.3825373,,village,Llanfair Orllwyn
52.0386018,-4.3942605,,hamlet,Henllan
52.0427864,-4.3117660,,village,Llandysul
52.0487457,-4.2280361,,village,Llanllwm
52.0300274,-4.0752570,,hamlet,Rhydcymerau
52.0498455,-4.0261813,,hamlet,Esgairdawe
52.0417208,-3.9321304,,village,Caio
52.0477841,-3.9609013,,village,Pumpsaint
52.0238063,-3.8816195,,hamlet,Porth-y-rhyd
52.0450103,-3.8198121,,village,Cilycwm
52.0440356,-3.7387614,,village,Cynghordy
53.0561961,-4.2251266,,village,Nantlle
52.0259866,-3.4803586,,village,Merthyr Cynog
52.0334987,-3.2668504,,hamlet,Llyswen
52.0457583,-3.2650819,,village,Boughrood
52.0328677,-3.2187693,,hamlet,Pipton
52.0546912,-3.1495678,,village,Llanigon
52.0006157,-3.1898357,,hamlet,Llanelieu
51.9964038,-3.2323446,,village,Talgarth
52.0066757,-3.2457365,,village,Bronllys
51.9915913,-3.2850956,,village,Llanfilo
51.9888349,-3.3390898,,village,Talachddu
51.9673357,-3.3758298,,village,Llanddew
51.9811753,-3.4102663,,hamlet,Llandefaelog fach
52.0106008,-3.4156221,,hamlet,Lower Chapel
51.9996945,-3.6093144,,hamlet,Llandeilor Fan
52.0078141,-4.0122152,,village,Llansawel
51.9940746,-3.9952846,,hamlet,Edwinsford
51.9836633,-4.0607508,,hamlet,Abergorlech
51.9849906,-4.1426271,,hamlet,Gwernogle
51.9979290,-4.2333195,,hamlet,Gwyddgrug
52.0082659,-4.2271305,,village,New Inn
52.0001337,-4.2685111,,village,Pencader
52.0013536,-4.3922383,,hamlet,Penboyr
52.0286412,-4.3719273,,village,Llangeler
53.1141055,-4.2668097,,village,Y Bontnewydd
53.1153093,-4.2865985,,village,Llanfaglan
53.0423018,-4.2821911,,village,Llanllyfni
53.1467267,-4.1918597,,village,Llanrug
52.0228636,-4.3568185,,hamlet,Pentre cwrt
52.0161572,-4.1192005,,hamlet,Llidiad Nenog
52.0447075,-4.5255539,,village,Cenarth
51.9903512,-4.5492536,,village,Clydey
51.9869918,-4.5046677,,village,West Cilrhedyn
52.0325711,-4.5530555,,hamlet,Penrhiw
52.0500327,-4.4909280,,village,Pont Ceri
52.0638072,-4.5656927,,village,Llandygwydd
52.1584445,-4.0369531,,village,Llangybi
51.9810060,-3.7074042,,hamlet,Halfway
51.9969789,-3.5402056,,village,Llanfihangel Nant-Bran
51.7440094,-5.0581870,,hamlet,Robeston Cross
52.0673309,-3.1782507,,village,Llowes
52.0222850,-3.5952927,,hamlet,Aber Cyrnog
52.0464034,-4.6616027,,village,Bridell
52.0631100,-4.5000028,,village,Brongwyn
52.0460933,-4.4361296,,village,Llandyfriog
52.0814927,-4.4433473,,village,Troedyruar
52.0694529,-4.4061516,,hamlet,Llangyllo
52.0600528,-4.2596437,,hamlet,Capel-Dewi
52.0651706,-4.2021258,,village,Rhyddlan
52.0824960,-3.9899862,,hamlet,Ffaldybrenin
52.0841499,-3.9712783,,village,Ffarmers
52.0970399,-3.6053426,,hamlet,Cefn-gorwydd
52.1012107,-3.4323912,,village,Llangynog
52.0794599,-3.3657862,,village,Gwenddwr
52.0711657,-3.3292579,,village,Crickadarn
52.0936731,-3.3246497,,village,Llandeilo graban
52.1161837,-3.3459423,,village,Aberedw
52.0860507,-3.1482954,,village,Clyro
52.1376803,-3.1860938,,hamlet,Bryngwyn
52.1499108,-3.1481061,,village,Newchurch
52.1286787,-3.2929467,,village,Llanbadarn y Garreg
52.1460332,-3.3614953,,village,Llanfaredd
52.1571065,-3.3923495,,hamlet,Llanelwedd
52.1272608,-3.4103584,,village,Llanddewi i Cwn
52.1388697,-3.4318840,,village,Maesmynis
52.1551681,-3.4498234,,hamlet,Llanganten
52.1337301,-3.5317745,,village,Garth
52.1402641,-3.5159828,,village,Llanfan-fechan
52.1385832,-3.5621014,,hamlet,Llanlleonfel
52.1136370,-3.5556209,,village,Llangammarch Wells
52.1388801,-4.0867839,,village,Silian
52.1241409,-4.1146117,,village,Maestir
52.1480161,-4.0540021,,village,Bettws Bledrws
52.1111800,-4.1550084,,village,Capel-y-Groes
52.1385564,-4.1606558,,village,Cribyn
52.1364666,-4.1725958,,village,Capel St Silo
52.1081389,-4.2066179,,village,Cwrt-newydd
52.1362475,-4.3016493,,hamlet,Talgarreg
52.0999764,-4.4788226,,village,Betws Ifan
52.1087979,-4.5787670,,hamlet,Tremain
52.1734549,-4.2561835,,hamlet,Mydroilyn
52.1806685,-4.2198645,,village,Dihewyd
52.1841315,-4.1602880,,village,Ystrad Aeron
52.1860131,-4.1301868,,village,Talsarn
52.1672316,-4.1410785,,village,Temple Bar
52.1797077,-4.1232299,,village,Felindre
52.1871341,-4.0589651,,village,Llwyn groes
52.1740408,-4.0672523,,hamlet,Llangybr Common
52.1772020,-4.0135647,,hamlet,Olmarch
52.1600948,-3.6770057,,village,Abergwesyn
52.1924637,-3.5176414,,village,Llanafan Fawr
52.2004049,-3.4871246,,village,Llanfihangel Bryn Pabuan
52.1833000,-3.3187240,,village,Llansaintfraed in Elwel
52.1713743,-3.2319583,,village,Glascwm
52.1707225,-3.1706437,,hamlet,Colva
52.2155584,-3.2011874,,village,Llanfiangel nant Melan
52.2030261,-3.2953382,,village,Bettws Disserth
52.2140849,-3.3916788,,village,Crossway
52.2185870,-3.3897093,,village,Howey
52.2154337,-3.4134389,,village,Disserth
52.2188649,-4.0210808,,village,Llangeitho
52.2086026,-4.0817371,,hamlet,Bwlchllan
52.2311246,-4.0772848,,hamlet,Crynfryn
52.2192258,-4.1669130,,village,Cilcennin
52.2073952,-4.1924866,,village,Ciliau Aeron
52.2117027,-4.1816035,,hamlet,Newbridge
52.2258562,-4.2807457,,hamlet,Henfynyw Upper
52.2122950,-4.3347352,,hamlet,Llanina
52.2467374,-4.1885338,,hamlet,Llanbadarn-Trefeglwys
52.2571057,-4.0158617,,village,Blaenpenal
52.2449761,-4.0626975,,hamlet,Penuwch
52.2619815,-3.5037202,,village,Llanwrthwl
52.2740110,-3.5635287,,village,Elan Village
52.2747144,-3.4747174,,hamlet,Nant Glas
52.2508510,-3.4029081,,village,Llanyre
52.2854250,-3.4169016,,village,Nantmel
52.2703102,-3.3996535,,hamlet,Llanfihangel helygen
52.2402354,-3.1545335,,village,New Radnor
52.2310914,-3.0911280,,hamlet,Walton
52.2605954,-3.1089993,,village,Kinnerton
52.2668309,-3.2948528,,village,Penybont
52.2918454,-3.2456841,,village,Llanfihangel Rhydieithon
52.2694152,-3.3404179,,village,Llanbadarn fawr
52.2980590,-3.0220179,,village,Norton
52.2985722,-3.0689729,,village,Whitton
52.3080284,-3.1652178,,village,Bleddfa
52.3088384,-3.3076958,,village,Llanddewi Ystradenni
52.2914581,-3.9034974,,village,Ystrad Meurig
52.3153659,-3.9902796,,village,Lledrod
52.3163529,-4.0561759,,village,Llangwyryfon
52.3561879,-4.0209399,,hamlet,Llanilar
52.3337808,-3.9284465,,village,Llanafan
52.3280949,-3.8616388,,village,Ysbyty Ystwyth
52.3344442,-3.1584870,,village,Llangunllo
52.3479322,-3.0105913,,hamlet,Milebrook
52.3753240,-3.1101179,,village,Lloyney
52.3610946,-3.4286618,,village,Bwlch-y-Sarnau
52.3441991,-3.4863678,,village,St Harmon
52.3620096,-3.4942499,,village,Pant y dwr
53.3004802,-3.4130545,,village,Dyserth
52.0809953,-4.6292170,,village,Llangoedmor
51.7295735,-5.0366193,,village,Thornton
53.0525795,-4.2586599,,village,Talysarn
53.0456907,-4.2573273,,hamlet,Tanyrallt
51.6371639,-2.9875088,,hamlet,Llanfrechfa
51.6815064,-2.9632004,,hamlet,Coed-y-paen
51.7215054,-2.9820263,,village,Little Mill
51.7492275,-2.9737579,,village,Goytre
51.8119811,-2.9433161,,village,Llanddewi Rhydderch
51.8954186,-2.9676667,,hamlet,Pandy
51.8727521,-2.8626626,,hamlet,Cross Ash
51.8009558,-2.8494736,,village,Penrhos
51.7865961,-2.8425642,,village,Tregare
51.7936008,-2.9065710,,village,Llanarth
51.6830583,-2.8800926,,village,Llanllowell
51.6127696,-2.8902907,,hamlet,Llanbeder
51.6037473,-2.9133807,,suburb,Langstone
51.5877712,-2.9143112,,village,Llanwern
51.5868490,-2.7941688,,hamlet,Llanfihangel Rogiet
51.8519508,-2.8033085,,village,Newcastle
51.6848377,-5.0917566,,village,Angle
51.6739226,-4.9284570,,village,Monkton
53.1051630,-3.9108281,,village,Capel Curig
51.7631292,-4.9306981,,village,Hook
51.6590415,-4.9321545,,hamlet,Maiden Wells
53.0914469,-3.8027985,,village,Betws y Coed
53.1045446,-4.0808549,,village,Nant Peris
51.6402112,-4.9652103,,village,St Twynnells
51.6385741,-4.9895167,,village,Warren
53.2178906,-3.7929819,,village,Eglwysbach
53.2252918,-3.4217055,,village,Trefnant
52.3650800,-3.8863044,,hamlet,Capel Trisant
52.4016789,-3.9711268,,hamlet,Dol-y-pandy
52.4115515,-3.8402309,,village,Ponterwyd
52.4394789,-3.4930511,,hamlet,Newchapel
52.4628424,-4.0238848,,village,Llandre
52.4841919,-3.9840992,,village,Tal-y-bont
52.4769586,-3.5594608,,village,Y Fan
52.4814334,-3.5307562,,hamlet,Cerist
52.5045437,-3.5178863,,village,Trefeglwys
52.4734937,-3.4878420,,hamlet,Tyddyn
52.4856968,-3.4366028,,village,Llandinam
52.4866412,-3.3699945,,hamlet,Mochdre
52.5401482,-3.0381857,,hamlet,Hurdley
52.5101617,-3.1740724,,village,Sarn
52.5298263,-3.2433764,,hamlet,Llanmerwig
52.5235512,-3.2921382,,hamlet,Llanllwchaiarn
52.5166912,-3.4287751,,village,Caersws
52.5336948,-3.4429151,,village,Llanwnog
52.5190276,-4.0420328,,hamlet,Ynys Tachwedd
52.5630137,-3.6525668,,village,Pennant
52.5575297,-3.5338852,,village,Carno
52.5789833,-3.3327168,,hamlet,Tregynon
52.5624930,-3.2962149,,hamlet,Bettws Cedwain
52.6117620,-3.3152930,,village,Manafon
52.6010889,-3.3560809,,hamlet,Llanwyddelan
52.6002837,-3.3351446,,hamlet,New Mills
52.6102166,-3.3938168,,village,Llanllugan
52.5890145,-3.5807271,,village,Talerddig
52.6126251,-3.6277309,,village,Llanbrynmair
52.6010672,-3.7278308,,village,Darowen
52.5928898,-3.8176270,,village,Penegoes
52.5862409,-3.9200310,,village,Pennal
52.6150500,-3.7936110,,village,Llanwrin
52.6712236,-3.2935961,,hamlet,Llangynyw
52.6759200,-3.4318807,,village,Llanerfyl
52.6761994,-3.7092328,,village,Aberangell
52.6718080,-3.8189232,,village,Aberllefenni
52.6516583,-3.8402825,,village,Corris
52.6629553,-3.8580357,,village,Corris Uchaf
52.6613748,-3.9649093,,village,Llanfihangel-y-pennant
52.6974280,-3.6838281,,village,Mallwyd
52.7053586,-3.6708890,,hamlet,Cwm Cewydd
52.6957163,-3.4990997,,locality,Garthbeibio
52.7050938,-3.3852320,,village,Dolanog
52.7092881,-3.2531363,,village,Meifod
52.7505363,-3.0573271,,village,Llandrinio
52.7597750,-3.0855291,,village,Four Crosses
52.7662332,-3.0871126,,village,Llandysilio
52.7669146,-3.2717467,,village,Llanfyllin
52.7415160,-3.3633223,,village,Llanfihangel yng Ngwynfa
52.7607314,-3.4590063,,village,Llanwddyn
52.7594895,-3.6263672,,village,Llanmawddwy
52.7239415,-3.7044136,,hamlet,Brynllys
52.7478274,-3.9349616,,village,Penmaenpool
52.7590277,-3.9033418,,village,Llanelltyd
52.7393614,-4.0731235,,village,Llanaber
52.7856291,-3.8489808,,village,Llanfachreth
52.7828794,-3.7744775,,village,Rhydymain
52.7742447,-3.7893015,,village,Pont Llanrhaiadr
52.7961672,-3.4076603,,hamlet,Hirnant
52.7760525,-3.2029028,,village,Llanfechain
52.8081792,-3.2120976,,village,Llangedwyn
52.8251536,-3.3014351,,village,Llanrhaeadr-ym-Mochnant
52.8423766,-3.2839608,,village,Llanarmon Mynydd Mawr
52.8109345,-3.3551435,,village,Pen-y-Bont-Fawr
52.8246372,-3.4085806,,village,Llangynog
52.8012690,-3.8893972,,village,Ganllwyd
52.8463985,-3.1768016,,village,Llansilin
52.8763653,-3.6285489,,village,Llangywer
52.8587405,-3.6739107,,village,Llanuwchllyn
52.9010560,-3.9238036,,village,Trawsfynydd
52.8862861,-3.2540095,,village,Llanarmon Dyffryn-Ceiriog
52.9315566,-3.1888456,,village,Glyn Ceiriog
52.9221663,-3.4344883,,village,Llandrillo
52.9217191,-3.5173900,,village,Llandderfel
52.9404299,-3.6305485,,village,Y Frongoch
52.9502123,-3.9147442,,village,Bont Newydd
52.9598300,-3.9315304,,village,Llan Ffestiniog
52.9875325,-3.9569581,,village,Tan-y-grisiau
52.9887407,-3.9262508,,neighbourhood,Bethania
52.9888412,-3.5404562,,hamlet,Llangwm
52.9911356,-3.4826765,,village,Dinmael
52.9894294,-3.4669578,,village,Maerdy
52.9717379,-3.4537121,,hamlet,Glan yr Afon
52.9573673,-3.4047579,,village,Cynwyd
52.9752398,-3.2671307,,village,Glyndyfrdwy
52.9830701,-3.3247593,,village,Carrog
53.0153658,-3.2748497,,village,Bryneglwys
52.9716410,-3.0752717,,village,Cefn Mawr
52.9627605,-3.0857849,,village,Froncysyllte
52.9787589,-3.1093577,,village,Garth
52.9738499,-3.0880255,,village,Trefor
52.9965611,-2.9702276,,village,Eyton
53.0009222,-3.0766660,,village,Pen-y-cae
53.0074659,-3.4432277,,village,Betws Gwerful Goch
52.9713736,-3.0897325,,village,Pontcysyllte
52.7186185,-3.6895069,,village,Dinas Mawddwy
51.9680781,-4.9941764,,village,Scleddau
51.8753426,-4.8778019,,village,Walton East
51.8831455,-4.8462993,,hamlet,Llys-y-fran
51.9565752,-4.6050408,,village,Hermon
52.0154153,-5.0144722,,hamlet,Llanwnda
53.0845173,-4.3340739,,village,Dinas Dinlle
53.1096687,-4.2005357,,village,Y Waunfawr
53.0963579,-4.2472968,,village,Rhostryfan
53.0729625,-4.2489404,,village,Carmel
51.7003490,-4.8244893,,village,Carew
52.9969551,-2.8356956,,hamlet,Sarn
53.1803589,-4.2702391,,village,Brynsiencyn
53.1049253,-3.0468524,,hamlet,Bryn Yorkin
51.7100450,-4.9511792,,town,Neyland
51.7348262,-4.9656153,,village,Rosemarket
51.7835614,-4.6361679,,village,Tavernspite
52.2199960,-3.9342709,,village,Tregaron
53.0529630,-3.8890881,,village,Dolwyddelan
53.1096225,-2.9449096,,village,Rossett
53.0252335,-3.5603628,,village,Cerrigydrudion
52.9607793,-4.2014962,,hamlet,Golan
52.0638573,-4.6008233,,village,Llechryd
51.9504974,-5.1700829,,island,Ynys-fach
52.1910180,-4.4061881,,hamlet,Cwmtydu
52.1833654,-4.3803444,,hamlet,Nanternis
53.2471552,-4.1549279,,village,Llandegfan
52.1729931,-4.3845176,,village,Llwyndafydd
52.4745168,-3.3179118,,village,Dolfor
51.5839159,-4.0591971,,village,Kittle
51.8837103,-3.3013302,,hamlet,Aber
51.7231687,-5.1426407,,village,St Ishmael's
51.5752321,-4.0162214,,village,Newton
51.7491827,-4.9146949,,village,Llangwm
51.7372635,-3.6357640,,village,Blaengwrach
51.7572464,-3.5925356,,village,Pontneddfechan
51.6296367,-3.8629818,,village,Jersey Marine
51.6791431,-3.7794145,,village,Aberdulais
51.5450638,-4.2198927,,village,Overton
51.5772033,-4.0340237,,hamlet,Holtsfield
51.5720366,-4.0492326,,hamlet,Hareslade
51.5754230,-4.0489393,,hamlet,Pyle
51.5865078,-4.0059735,,suburb,West Cross
52.0401978,-4.5569793,,hamlet,Abercych
52.0751814,-4.4822745,,hamlet,Bryngwyn
51.9550413,-4.9603267,,hamlet,Trecwn
51.9692976,-4.8812230,,hamlet,Pontfaen
51.8597035,-4.4852446,,hamlet,Meidrim
52.0182520,-4.9020427,,hamlet,Brynhenllan
51.8259263,-4.8722277,,hamlet,Wiston
51.5841244,-3.7685004,,suburb,Taibach
51.6492251,-4.8682494,,village,Freshwater East
51.5790533,-3.7619448,,suburb,Margam
51.7259187,-4.8725779,,village,Lawrenny
65.6082867,-168.0903536,,village,Wales
39.4869056,-111.6351961,,village,Wales
48.8958373,-98.6026208,,hamlet,Wales
43.0044549,-88.3767626,,village,Wales
42.0695394,-72.2223007,,village,Wales
52.0139952,-4.6172863,,village,Boncath
51.6840575,-5.0085547,,hamlet,Pwllcrochan
51.6243612,-4.9012945,,locality,Stackpole Quay
51.7243240,-4.8252195,,hamlet,Cresswell
51.7168695,-4.8467214,,hamlet,West Williamston
52.4013050,-4.0720401,,village,Penparcau
52.1900098,-4.3557021,,hamlet,Cross Inn
51.6964502,-4.8879078,,village,Cosheston
51.4944263,-3.5224626,,village,Treoes
51.6071284,-4.1732881,,village,Llanrhidian
53.2317784,-4.1095580,,hamlet,Abercegin
53.2338151,-4.1089803,,locality,Porth Penrhyn
52.3048774,-3.0906410,,village,Pilleth
52.3321633,-3.1336681,,farm,Cefnsuran Farm
51.5738477,-4.0297552,,hamlet,Owensfield
52.2836925,-3.0497172,,hamlet,Dolley Green
51.5705007,-3.9917168,,hamlet,Thistleboon
51.7724601,-4.3927996,,village,Llansteffan
51.6856934,-3.9085793,,village,Ynystawe
51.6758723,-3.9288575,,suburb,Cwmrhydyceirw
51.6352519,-4.0967348,,village,Blue Anchor
51.6422258,-4.1048915,,village,Penclawdd
51.6819927,-3.9411108,,hamlet,Pant Lasau
51.4783862,-3.2504823,,suburb,Ely
51.4745955,-3.2382156,,suburb,Caerau
51.8094980,-3.5533027,,village,Ystradfellte
51.6224968,-3.9493530,,suburb,Mount Pleasant
53.3418732,-1.2789459,,village,Wales
53.3418732,-1.2583465,,village,Kiveton Park
51.6222941,-3.9164987,,suburb,Port Tennant
51.6238434,-3.9289261,,suburb,St. Thomas
51.7347294,-4.6763935,,hamlet,Summerhill
53.2169125,-4.1003080,,village,Llandygai
51.7403304,-3.5126340,,village,Hirwaun
51.7108868,-4.6997977,,town,Saundersfoot
51.8474664,-4.6774959,,village,Llanfallteg
51.8711825,-4.6769845,,village,Fynnon-wen
53.4127209,-4.4537724,,village,Cemaes
53.2749181,-4.3096178,,village,Rhosmeirch
53.3005281,-4.5286597,,village,Llanynghenedl
53.3211910,-4.2205614,,village,Benllech
52.5438490,-3.9381207,,village,Eglwys Fach
52.5119965,-3.9763153,,village,Tre'r Ddôl
51.8256894,-4.7951643,,hamlet,Holgan
51.9035193,-4.6918195,,village,Pant-y-caws
51.9088251,-4.6457437,,village,Llanglydwen
51.5892882,-4.2316090,,hamlet,Burry
51.6000903,-4.2216115,,hamlet,Burry Green
51.7958896,-4.6970274,,hamlet,Llan-mill
51.8799407,-4.5922363,,village,Llanboidy
51.6500177,-4.7692139,,village,Lydstep
51.6749872,-4.7749953,,village,St Florence
51.6772416,-4.7364163,,hamlet,Gumfreston
51.6536220,-4.8582575,,hamlet,Lake
51.6599052,-4.8491595,,village,Hodgeston
51.4116334,-3.2034678,,hamlet,Cog
53.0470726,-3.7273899,,hamlet,Padog
51.7327820,-4.6612136,,village,Amroth
51.6839644,-3.9257599,,suburb,Parc Gwernfadog
51.7117898,-4.7541954,,hamlet,East Williamston
